Date,STDAlbedo,STDAlgae,STDDust,STDGrain,meanAlbedo,meanAlgae,meanDensity,meanDust,meanGrain,DOY,STDDensity
2016-08-27,0.14206923711992595,12796.110079504735,29168.853123242472,3903.7570657858923,0.5324550318942374,3338.9585285521475,666.7125164664536,24556.30420051978,7592.597409583211,240,155.06678187400126
2016-08-30,0.13660315529558018,13005.954414249172,20893.98191299955,3971.851091954578,0.4976991161514026,3432.921453442626,676.9546087225874,16632.052489600534,8602.713542419062,243,136.18697697968946
2017-06-01,0.18171930741928835,21604.876442788092,41821.76936434164,6479.073742409479,0.5142853205430515,3983.3928368276042,674.3181692615437,19031.15614595355,10252.868989960021,152,214.44085149176416
2017-06-04,0.12311085224351882,9595.4758916565,24432.783877157588,3431.9722499135505,0.66463578928046,709.8714503213172,786.5713663357504,9995.651790146028,4675.6905078077325,155,75.0891362375008
2017-06-07,0.12088589361051967,8117.6231117251855,28753.150379711784,3013.3098334602546,0.6838050985578397,648.7769851285027,781.2805926824446,12365.128423885739,4478.282276837954,158,80.03214985153178
2017-06-10,0.12870702199434758,9445.346680041535,30811.505582892096,3267.756274996266,0.6709346966677617,890.9236307872836,775.6058726456534,14307.26078747175,4605.5309345623355,161,94.57148451813542
2017-06-13,0.11623558522964804,8792.659295550193,21187.412820052654,2864.374179037615,0.6626629407232713,644.2469914114292,785.6933721962125,8280.697713941085,4417.947505976212,164,67.3800148636612
2017-06-16,0.12469070644497304,9066.036050916038,24788.590382430084,3161.047417513144,0.658188312022909,700.3610212082724,781.6600422570242,10886.720017159741,4647.708202436957,167,76.40360349559282
2017-06-19,0.1355650670036899,10347.323193885977,28953.26279928484,3593.390964578283,0.6492657751366953,847.96051847809,781.0222757929474,13869.290053451827,4806.790164757071,170,88.08867244918426
2017-06-22,0.13867544928911643,10933.460318451409,29569.152286324796,3798.1106504170775,0.6538625441934343,972.0055021800345,777.6124424383594,15550.39761159542,4894.42897100401,173,96.51080423837705
2017-06-25,0.1272813073442555,8350.972610205485,30177.77811634767,2914.514395409015,0.7032777755722674,637.8114886797246,789.9642065759004,16728.6792994708,3876.6714079169806,176,76.1976866776018
2017-06-28,0.13001770339540814,9609.94007849311,27161.748872080258,3532.299245933484,0.6245871209133218,772.5509817537128,786.124590621525,12691.981694517695,5212.053724571909,179,86.90972811020471
2017-07-01,0.14673936492054315,11558.963488293895,32978.54895454799,4184.606235015204,0.5858353700861628,967.5765459007989,788.7117866018289,16024.174718972074,5732.286642296734,182,107.65447385502998
2017-07-04,0.15252031035624883,9088.104767576424,29546.765074074712,2924.627292031289,0.7466116455611076,862.406996250825,781.3955142058204,13766.424725254654,3902.4359140731394,185,111.39780015190676
2017-07-07,0.10704272435067125,7341.351176528519,22979.147393484254,2126.4680119160066,0.7868354750705115,507.59127924042207,798.3848222317862,12143.059437658805,2990.3052532494903,188,77.73488341529105
2017-07-10,0.13908782202142436,10777.815182162,28620.778733361512,2728.168434188112,0.7973992369600393,2069.9481741085765,793.5364614140907,16397.795097499526,3282.9092473225137,191,104.90708715385544
2017-07-13,0.12740814603861864,7528.2588876907885,23426.9449510044,2541.0251540648574,0.7579561789224453,824.7148144005876,790.813129843528,12061.170130722607,4605.864094960778,194,103.60421424432641
